source_id,target_id,score
1002,VF-2620311311,0.99987406
1005,VF-4901448645,0.99615824
1006,VF-2183762338,0.9997205
1007,VF-4835098131,0.99982524
1008,VF-6438591877,0.99940443
1010,VF-3431456087,0.99968684
1011,VF-8777205193,0.99981916
1012,VF-3084665488,0.95424783
1013,VF-9708740315,0.99985206
1015,VF-6888442721,0.9999249
1017,VF-4908671854,0.9708055
1018,VF-9010047459,0.9997898
1019,VF-9424177915,0.9635783
1020,VF-3979188843,0.9995837
1021,VF-9698649469,0.9854858
1022,VF-9614532846,0.9922081
1025,VF-8215106910,0.99960095
1027,VF-2406211471,0.9999293
1028,VF-2289157883,0.9997746
1029,VF-6704077851,0.8908995
1030,VF-9974425280,0.99957144
1031,VF-1357919742,0.99970436
1034,VF-5373079108,0.99937236
1036,VF-7719476014,0.99958616
1037,VF-3780005706,0.9998194
1038,VF-9996604464,0.99285036
1041,VF-5501349253,0.9998832
1046,VF-7551187077,0.9708055
1047,VF-7123394882,0.99984586
1052,VF-8215106984,0.99755114
1053,VF-6888442706,0.9997762
1054,VF-5283485834,0.9997458
1055,VF-9929789292,0.9922081
1057,VF-5303231290,0.99946034
1062,VF-9426426977,0.99992794
1063,VF-2946627122,0.99977505
1065,VF-7865602264,0.9708055
1066,VF-9988091527,0.99971676
1067,VF-1623525818,0.99987656
1069,VF-8960744172,0.99945945
1073,VF-8162401297,0.99973345
1076,VF-1357919758,0.9999407
1077,VF-9901256324,0.9675226
1078,VF-9947162508,0.9994945
1079,VF-5702638842,0.86389256
1084,VF-0462376488,0.9995982
1086,VF-6888442753,0.99285036
1089,VF-9367293956,0.99981916
1091,VF-8584906106,0.99951327
1092,VF-2452630729,0.99981916
1094,VF-0138158231,0.999768
1097,VF-3891214484,0.9996786
1098,VF-8238797393,0.9612236
1099,VF-5373079126,0.9995306
1101,VF-5283485862,0.9998422
1102,VF-2933070001,0.98083305
1103,VF-2635169562,0.9995487
1104,VF-6881288702,0.9995868
1105,VF-2635169510,0.99982524
1108,VF-2305605581,0.99966764
1111,VF-6642356129,0.9993194
1112,VF-6438591887,0.9998483
1115,VF-9999914743,0.9995497
1116,VF-0807638943,0.9992768
1117,VF-7170137955,0.9996852
1118,VF-1323430639,0.99951327
1122,VF-2511237801,0.99968296
1123,VF-9840877310,0.99940443
1128,VF-9996694415,0.9995487
1131,VF-7723819946,0.9718614
1132,VF-6263760675,0.9998442
1134,VF-9532261790,0.9980954
1136,VF-7723819918,0.9962901
1137,VF-2620311317,0.99950266
1140,VF-9506969738,0.9995164
1143,VF-9772562930,0.99966204
1150,VF-6091423807,0.8594827
1151,VF-1357919725,0.99615824
1153,VF-1897269874,0.9998863
1154,VF-0138158201,0.99977165
1155,VF-0462376408,0.99974793
1159,VF-4053865613,0.9998142
1160,VF-6085720141,0.9993155
1162,VF-0138158257,0.99963015
1163,VF-7170137975,0.9995306
1165,VF-9310607866,0.9995868
1166,VF-2511237814,0.99960095
1169,VF-8737325510,0.999797
1171,VF-8777205171,0.99769825
1172,VF-6341668843,0.99985623
1174,VF-4371515084,0.9993194
1176,VF-6085720101,0.99991375
1180,VF-8711166397,0.9995758
1183,VF-9011577142,0.9996783
1184,VF-9996604464,0.99985397
1185,VF-9840877397,0.9997514
1186,VF-0975143289,0.9980954
1187,VF-9901256338,0.99980485
1188,VF-8941108430,0.99966764
1189,VF-7865602251,0.9993155
1191,VF-9996604420,0.99842924
1192,VF-2511237819,0.9998189
1195,VF-9098396034,0.9997746
1196,VF-9506969713,0.9995841
1198,VF-2620311319,0.9998632
1199,VF-2406211430,0.99950635
1204,VF-0913980360,0.99960464
1205,VF-0161322217,0.9996337
1206,VF-7123279114,0.9998267
1207,VF-9534392553,0.9999156
1208,VF-6913630214,0.9998437
1211,VF-6496839315,0.9996783
1213,VF-7112982136,0.99986625
1214,VF-2620311315,0.996648
1216,VF-9712127129,0.9996783
1218,VF-4139874560,0.99990827
1219,VF-0462376447,0.9995841
1220,VF-6085720153,0.9993715
1223,VF-2946627163,0.9998802
1225,VF-8584906182,0.99951327
1229,VF-9854676710,0.99920815
1231,VF-9860302289,0.99990785
1232,VF-9614532847,0.99963003
1234,VF-9999840856,0.99960095
1235,VF-9772562915,0.9995599
1238,VF-5373079105,0.9998828
1241,VF-8171354648,0.99963015
1242,VF-5373079121,0.9997731
1243,VF-8162401231,0.99986
1248,VF-8215106951,0.99615824
1249,VF-2289157845,0.99954075
1252,VF-8252703455,0.99951327
1253,VF-9901256313,0.9995207
1254,VF-9506969753,0.99920815
1256,VF-1897269897,0.9996693
1257,VF-0138158282,0.999768
1258,VF-7865602252,0.96120024
1259,VF-2470290964,0.9995497
1261,VF-6913630299,0.99960357
1265,VF-8737325586,0.9996491
1266,VF-9614532875,0.99986
1269,VF-6085720180,0.9995868
1270,VF-9901256301,0.9998483
1271,VF-9911344706,0.9997437
1277,VF-1139137609,0.99731165
1278,VF-3117752900,0.99946034
1280,VF-6642356183,0.99967855
1282,VF-9848615784,0.99980956
1287,VF-2511237810,0.999724
1288,VF-0587887664,0.9998533
1290,VF-8215106938,0.99631083
1291,VF-8215106932,0.999895
1294,VF-3891214496,0.99968684
1296,VF-8346456818,0.9993715
1298,VF-1897269842,0.9995841
1300,VF-9532261733,0.99972254
1302,VF-9840877398,0.9995758
1303,VF-0562594147,0.9993715
1304,VF-5501349298,0.9994945
1306,VF-3084665404,0.96704763
1309,VF-8711166340,0.99966925
1311,VF-6981486777,0.99972075
1314,VF-3780005748,0.9996827
1315,VF-9373444129,0.9997519
1316,VF-3084665410,0.9998828
1317,VF-6341668805,0.9996786
1318,VF-1288925327,0.99963015
1319,VF-2860875205,0.99966925
1320,VF-8909770155,0.9998136
1323,VF-0562594189,0.99942404
1327,VF-4018955227,0.98055387
1328,VF-0982172006,0.984019
1330,VF-9929789291,0.9996451
1331,VF-9614532872,0.9997316
1334,VF-9506969771,0.9762722
1336,VF-2511237850,0.9994972
1337,VF-9825719620,0.9997458
1338,VF-2511237863,0.99950266
1339,VF-6828329487,0.99984765
1340,VF-8620605775,0.9998632
1341,VF-9854676797,0.99920815
1345,VF-1357919750,0.99877566
1346,VF-6263760645,0.9993155
1347,VF-9967850708,0.9996907
1349,VF-7170137960,0.9998189
1352,VF-9999840816,0.9996337
1355,VF-7865602238,0.9998661
1356,VF-9367293956,0.99970436
1357,VF-1357919711,0.9993194
1358,VF-6965976364,0.99946034
1359,VF-3084665473,0.99951345
1360,VF-8584906154,0.99205774
1363,VF-2620311301,0.99967855
1364,VF-2620311393,0.9997358
1365,VF-6263760605,0.9993155
1367,VF-0487019437,0.9998667
1368,VF-9506969793,0.9998828
1370,VF-9816055061,0.9987845
1371,VF-1078667732,0.9995982
1373,VF-8737325548,0.99981916
1374,VF-9836195481,0.99956703
1375,VF-4901448619,0.97799283
1376,VF-0419814808,0.99994206
1378,VF-2620311309,0.9997883
1380,VF-9967850782,0.9996451
1381,VF-2635169534,0.9995487
1382,VF-5379796807,0.9993194
1385,VF-1323430664,0.9997762
1391,VF-9225653915,0.9978431
1396,VF-4139874564,0.9997519
1398,VF-9929789218,0.9997437
1400,VF-0913980306,0.9922081
1404,VF-7036142744,0.99974304
1407,VF-3780005753,0.99951327
1408,VF-9837460880,0.9998512
1412,VF-0562594159,0.9997351
1413,VF-9911344709,0.9996586
1414,VF-9426426942,0.9998646
1416,VF-7170137933,0.9998661
1419,VF-1357919778,0.99775434
1422,VF-2532625289,0.99937236
1423,VF-7112982106,0.99941444
1425,VF-3270059932,0.8071007
1427,VF-9506969735,0.99974793
1429,VF-4053865686,0.9997458
1430,VF-6263760688,0.9997205
1433,VF-3303668204,0.9998437
1434,VF-8430469715,0.99956703
1435,VF-9854676785,0.99955106
1437,VF-1357919715,0.9997762
1438,VF-9506969719,0.99966925
1439,VF-6885434478,0.90913373
1443,VF-9957558849,0.99992776
1447,VF-7347214810,0.99984205
1449,VF-1897269819,0.99920815
1451,VF-9911344768,0.9998384
1452,VF-8777205198,0.99973345
1453,VF-8620605722,0.9991348
1454,VF-6981486791,0.9997316
1456,VF-0920068519,0.99984765
1457,VF-2620311351,0.9998632
1458,VF-8584906109,0.99984074
1459,VF-9854676770,0.9996693
1461,VF-6888442721,0.9998952
1464,VF-1897269896,0.9708055
1465,VF-6263760653,0.9997205
1467,VF-4928826375,0.9997762
1468,VF-9834873409,0.99974996
1474,VF-9506969775,0.99966884
1475,VF-9294514028,0.9995758
1478,VF-1897269871,0.99990124
1479,VF-3272709336,0.99994594
1480,VF-4901448605,0.9997514
1485,VF-1386788863,0.9998463
1487,VF-9011577198,0.9998533
1488,VF-7996717452,0.99991846
1489,VF-7170137966,0.9995868
1491,VF-0807638904,0.99846214
1496,VF-7560503369,0.999812
1497,VF-8909770173,0.9995837
1500,VF-2532625209,0.9993715
